"Time","Sensor SHT20","Sensor BMP280"
2021-08-10 00:00:00,24.87,25.98
2021-08-10 00:01:00,24.805,25.939999999999998
2021-08-10 00:02:00,24.75,25.9
2021-08-10 00:03:00,24.69,25.86
2021-08-10 00:04:00,24.64,25.83
2021-08-10 00:05:00,24.58,25.79
2021-08-10 00:06:00,24.54,26.56
2021-08-10 00:07:00,24.49,25.89
2021-08-10 00:08:00,24.45,25.72
2021-08-10 00:09:00,24.4,25.65
2021-08-10 00:10:00,24.34,25.6
2021-08-10 00:11:00,24.32,25.56
2021-08-10 00:12:00,24.3,25.52
2021-08-10 00:13:00,24.24,25.47
2021-08-10 00:14:00,24.2,25.44
2021-08-10 00:15:00,24.16,25.39
2021-08-10 00:16:00,,
2021-08-10 00:17:00,24.06,25.3
2021-08-10 00:18:00,24.03,25.25
2021-08-10 00:19:00,23.97,25.19
2021-08-10 00:20:00,23.89,25.11
2021-08-10 00:21:00,23.86,25.07
2021-08-10 00:22:00,23.81,25.01
2021-08-10 00:23:00,23.79,24.97
2021-08-10 00:24:00,23.75,24.94
2021-08-10 00:25:00,23.72,24.89
2021-08-10 00:26:00,23.67,24.87
2021-08-10 00:27:00,23.6,24.83
2021-08-10 00:28:00,23.55,24.81
2021-08-10 00:29:00,23.5,24.77
2021-08-10 00:30:00,23.44,24.72
2021-08-10 00:31:00,23.41,24.67
2021-08-10 00:32:00,23.37,24.64
2021-08-10 00:33:00,,
2021-08-10 00:34:00,23.35,24.59
2021-08-10 00:35:00,23.285,24.54
2021-08-10 00:36:00,23.24,24.49
2021-08-10 00:37:00,,
2021-08-10 00:38:00,23.18,24.43
2021-08-10 00:39:00,23.1,24.37
2021-08-10 00:40:00,23.03,24.31
2021-08-10 00:41:00,22.97,24.25
2021-08-10 00:42:00,22.93,24.21
2021-08-10 00:43:00,22.88,24.17
2021-08-10 00:44:00,22.86,24.13
2021-08-10 00:45:00,,
2021-08-10 00:46:00,22.8,24.03
2021-08-10 00:47:00,22.76,23.97
2021-08-10 00:48:00,22.72,23.93
2021-08-10 00:49:00,22.68,23.89
2021-08-10 00:50:00,22.65,23.85
2021-08-10 00:51:00,22.63,23.8
2021-08-10 00:52:00,22.6,23.75
2021-08-10 00:53:00,22.57,23.71
2021-08-10 00:54:00,22.52,23.65
2021-08-10 00:55:00,22.51,23.61
2021-08-10 00:56:00,22.5,23.58
2021-08-10 00:57:00,22.48,23.55
2021-08-10 00:58:00,22.44,23.53
2021-08-10 00:59:00,22.4,23.5
2021-08-10 01:00:00,22.38,23.46
2021-08-10 01:01:00,22.34,23.43
2021-08-10 01:02:00,22.32,23.4
2021-08-10 01:03:00,22.29,23.37
2021-08-10 01:04:00,22.27,23.35
2021-08-10 01:05:00,22.26,23.32
2021-08-10 01:06:00,22.21,23.29
2021-08-10 01:07:00,22.2,23.26
2021-08-10 01:08:00,22.15,23.22
2021-08-10 01:09:00,22.11,23.18
2021-08-10 01:10:00,22.09,23.15
2021-08-10 01:11:00,22.07,23.11
2021-08-10 01:12:00,22.06,23.08
2021-08-10 01:13:00,22.04,23.06
2021-08-10 01:14:00,21.99,23.03
2021-08-10 01:15:00,21.97,23.01
2021-08-10 01:16:00,21.93,22.98
2021-08-10 01:17:00,21.88,22.96
2021-08-10 01:18:00,21.87,22.96
2021-08-10 01:19:00,21.83,22.92
2021-08-10 01:20:00,21.82,22.91
2021-08-10 01:21:00,21.8,22.89
2021-08-10 01:22:00,21.79,22.89
2021-08-10 01:23:00,21.82,22.88
2021-08-10 01:24:00,21.8,22.87
2021-08-10 01:25:00,21.78,22.86
2021-08-10 01:26:00,21.76,22.86
2021-08-10 01:27:00,21.75,22.86
2021-08-10 01:28:00,21.75,22.85
2021-08-10 01:29:00,21.76,22.84
2021-08-10 01:30:00,21.75,22.83
2021-08-10 01:31:00,21.73,22.8
2021-08-10 01:32:00,21.72,22.79
2021-08-10 01:33:00,21.69,22.77
2021-08-10 01:34:00,21.68,22.75
2021-08-10 01:35:00,21.66,22.73
2021-08-10 01:36:00,21.65,22.71
2021-08-10 01:37:00,21.63,22.67
2021-08-10 01:38:00,21.595,22.634999999999998
2021-08-10 01:39:00,21.55,22.59
2021-08-10 01:40:00,21.53,22.54
2021-08-10 01:41:00,21.5,22.5
2021-08-10 01:42:00,21.47,22.47
2021-08-10 01:43:00,21.45,22.42
2021-08-10 01:44:00,21.44,22.39
2021-08-10 01:45:00,21.42,22.35
2021-08-10 01:46:00,21.37,22.32
2021-08-10 01:47:00,21.35,22.28
2021-08-10 01:48:00,21.32,22.26
2021-08-10 01:49:00,21.29,22.22
2021-08-10 01:50:00,21.24,22.19
2021-08-10 01:51:00,21.2,22.15
2021-08-10 01:52:00,21.19,22.13
2021-08-10 01:53:00,21.17,22.09
2021-08-10 01:54:00,21.14,22.05
2021-08-10 01:55:00,21.1,22.02
2021-08-10 01:56:00,21.07,22
2021-08-10 01:57:00,21.06,21.98
2021-08-10 01:58:00,21.04,21.97
2021-08-10 01:59:00,21.02,21.95
2021-08-10 02:00:00,20.94,21.93
2021-08-10 02:01:00,20.91,21.91
2021-08-10 02:02:00,20.9,21.9
2021-08-10 02:03:00,20.88,21.89
2021-08-10 02:04:00,20.85,21.87
2021-08-10 02:05:00,20.8,21.85
2021-08-10 02:06:00,20.79,21.84
2021-08-10 02:07:00,20.79,21.84
2021-08-10 02:08:00,20.76,21.83
2021-08-10 02:09:00,20.74,21.82
2021-08-10 02:10:00,20.74,21.82
2021-08-10 02:11:00,20.72,21.805
2021-08-10 02:12:00,,
2021-08-10 02:13:00,20.630000000000003,21.795
2021-08-10 02:14:00,20.6,21.79
2021-08-10 02:15:00,,
2021-08-10 02:16:00,20.51,21.76
2021-08-10 02:17:00,,
2021-08-10 02:18:00,20.44,21.73
2021-08-10 02:19:00,20.42,21.72
2021-08-10 02:20:00,20.42,21.7
2021-08-10 02:21:00,20.4,21.69
2021-08-10 02:22:00,20.35,21.66
2021-08-10 02:23:00,20.32,21.64
2021-08-10 02:24:00,20.3,21.63
2021-08-10 02:25:00,20.29,21.6
2021-08-10 02:26:00,20.28,21.58
2021-08-10 02:27:00,20.28,21.55
2021-08-10 02:28:00,20.28,21.520000000000003
2021-08-10 02:29:00,,
2021-08-10 02:30:00,20.2,21.48
2021-08-10 02:31:00,20.18,21.45
2021-08-10 02:32:00,20.15,21.43
2021-08-10 02:33:00,20.14,21.41
2021-08-10 02:34:00,20.14,21.39
2021-08-10 02:35:00,20.12,21.38
2021-08-10 02:36:00,20.1,21.36
2021-08-10 02:37:00,20.05,21.34
2021-08-10 02:38:00,20.04,21.33
2021-08-10 02:39:00,20.03,21.32
2021-08-10 02:40:00,20.035,21.305
2021-08-10 02:41:00,,
2021-08-10 02:42:00,20.02,21.29
2021-08-10 02:43:00,20.02,21.28
2021-08-10 02:44:00,20,21.28
2021-08-10 02:45:00,19.99,21.27
2021-08-10 02:46:00,19.97,21.26
2021-08-10 02:47:00,19.96,21.25
2021-08-10 02:48:00,19.92,21.24
2021-08-10 02:49:00,19.91,21.23
2021-08-10 02:50:00,19.89,21.22
2021-08-10 02:51:00,19.86,21.2
2021-08-10 02:52:00,19.85,21.18
2021-08-10 02:53:00,19.83,21.17
2021-08-10 02:54:00,19.81,21.15
2021-08-10 02:55:00,,
2021-08-10 02:56:00,19.77,21.13
2021-08-10 02:57:00,19.73,21.11
2021-08-10 02:58:00,19.71,21.09
2021-08-10 02:59:00,19.67,21.06
2021-08-10 03:00:00,19.665,21.035
2021-08-10 03:01:00,19.62,21
2021-08-10 03:02:00,19.6,20.98
2021-08-10 03:03:00,19.61,20.96
2021-08-10 03:04:00,19.61,20.93
2021-08-10 03:05:00,19.58,20.91
2021-08-10 03:06:00,19.57,20.9
2021-08-10 03:07:00,19.54,20.88
2021-08-10 03:08:00,19.46,20.85
2021-08-10 03:09:00,19.43,20.82
2021-08-10 03:10:00,19.42,20.78
2021-08-10 03:11:00,19.4,20.76
2021-08-10 03:12:00,19.4,20.72
2021-08-10 03:13:00,19.38,20.69
2021-08-10 03:14:00,19.36,20.65
2021-08-10 03:15:00,19.305,20.585
2021-08-10 03:16:00,19.25,20.53
2021-08-10 03:17:00,19.22,20.49
2021-08-10 03:18:00,19.2,20.44
2021-08-10 03:19:00,19.18,20.4
2021-08-10 03:20:00,19.21,20.36
2021-08-10 03:21:00,19.18,20.33
2021-08-10 03:22:00,19.12,20.31
2021-08-10 03:23:00,19.06,20.25
2021-08-10 03:24:00,18.99,20.21
2021-08-10 03:25:00,18.96,20.17
2021-08-10 03:26:00,18.93,20.14
2021-08-10 03:27:00,18.89,20.09
2021-08-10 03:28:00,18.83,20.05
2021-08-10 03:29:00,18.79,19.990000000000002
2021-08-10 03:30:00,18.78,19.94
2021-08-10 03:31:00,18.73,19.89
2021-08-10 03:32:00,18.7,19.85
2021-08-10 03:33:00,18.68,19.81
2021-08-10 03:34:00,18.59,19.79
2021-08-10 03:35:00,18.59,19.76
2021-08-10 03:36:00,18.54,19.73
2021-08-10 03:37:00,18.49,19.69
2021-08-10 03:38:00,18.48,19.65
2021-08-10 03:39:00,18.43,19.63
2021-08-10 03:40:00,18.41,19.61
2021-08-10 03:41:00,18.42,19.59
2021-08-10 03:42:00,18.41,19.58
2021-08-10 03:43:00,18.39,19.564999999999998
2021-08-10 03:44:00,18.37,19.56
2021-08-10 03:45:00,18.39,19.55
2021-08-10 03:46:00,18.34,19.55
2021-08-10 03:47:00,18.32,19.55
2021-08-10 03:48:00,18.32,19.55
2021-08-10 03:49:00,18.28,19.56
2021-08-10 03:50:00,18.26,19.55
2021-08-10 03:51:00,18.25,19.53
2021-08-10 03:52:00,18.26,19.53
2021-08-10 03:53:00,18.29,19.54
2021-08-10 03:54:00,18.29,19.55
2021-08-10 03:55:00,18.28,19.55
2021-08-10 03:56:00,18.27,19.56
2021-08-10 03:57:00,18.26,19.56
2021-08-10 03:58:00,18.25,19.55
2021-08-10 03:59:00,18.17,19.545
2021-08-10 04:00:00,18.09,19.52
2021-08-10 04:01:00,18.03,19.5
2021-08-10 04:02:00,17.97,19.46
2021-08-10 04:03:00,17.94,19.44
2021-08-10 04:04:00,17.91,19.41
2021-08-10 04:05:00,17.92,19.38
2021-08-10 04:06:00,17.91,19.36
2021-08-10 04:07:00,17.91,19.34
2021-08-10 04:08:00,17.88,19.32
2021-08-10 04:09:00,17.8,19.3
2021-08-10 04:10:00,17.76,19.27
2021-08-10 04:11:00,17.78,19.25
2021-08-10 04:12:00,17.78,19.23
2021-08-10 04:13:00,17.78,19.23
2021-08-10 04:14:00,17.770000000000003,19.225
2021-08-10 04:15:00,17.74,19.21
2021-08-10 04:16:00,17.7,19.19
2021-08-10 04:17:00,17.66,19.19
2021-08-10 04:18:00,17.63,19.14
2021-08-10 04:19:00,17.63,19.12
2021-08-10 04:20:00,17.61,19.1
2021-08-10 04:21:00,17.56,19.07
2021-08-10 04:22:00,17.54,19.06
2021-08-10 04:23:00,17.53,19.04
2021-08-10 04:24:00,17.53,19
2021-08-10 04:25:00,17.51,18.97
2021-08-10 04:26:00,17.47,18.94
2021-08-10 04:27:00,17.46,18.93
2021-08-10 04:28:00,17.44,18.89
2021-08-10 04:29:00,17.4,18.87
2021-08-10 04:30:00,17.35,18.83
2021-08-10 04:31:00,17.3,18.81
2021-08-10 04:32:00,17.22,18.8
2021-08-10 04:33:00,17.17,18.76
2021-08-10 04:34:00,17.17,18.74
2021-08-10 04:35:00,,
2021-08-10 04:36:00,17.19,18.7
2021-08-10 04:37:00,17.15,18.7
2021-08-10 04:38:00,17.11,18.67
2021-08-10 04:39:00,17.08,18.63
2021-08-10 04:40:00,17.05,18.61
2021-08-10 04:41:00,17.03,18.59
2021-08-10 04:42:00,17.03,18.56
2021-08-10 04:43:00,17.04,18.55
2021-08-10 04:44:00,17.04,18.54
2021-08-10 04:45:00,16.990000000000002,18.525
2021-08-10 04:46:00,16.94,18.5
2021-08-10 04:47:00,16.94,18.48
2021-08-10 04:48:00,16.91,18.46
2021-08-10 04:49:00,16.94,18.45
2021-08-10 04:50:00,16.9,18.44
2021-08-10 04:51:00,16.87,18.42
2021-08-10 04:52:00,16.86,18.39
2021-08-10 04:53:00,16.82,18.36
2021-08-10 04:54:00,16.82,18.35
2021-08-10 04:55:00,16.82,18.34
2021-08-10 04:56:00,16.77,18.33
2021-08-10 04:57:00,16.75,18.29
2021-08-10 04:58:00,16.73,18.27
2021-08-10 04:59:00,16.685000000000002,18.235
2021-08-10 05:00:00,16.63,18.2
2021-08-10 05:01:00,16.62,18.17
2021-08-10 05:02:00,16.6,18.14
2021-08-10 05:03:00,16.6,18.12
2021-08-10 05:04:00,16.57,18.1
2021-08-10 05:05:00,16.56,18.07
2021-08-10 05:06:00,16.55,18.06
2021-08-10 05:07:00,16.56,18.03
2021-08-10 05:08:00,16.56,18.02
2021-08-10 05:09:00,16.6,18.02
2021-08-10 05:10:00,16.6,18.01
2021-08-10 05:11:00,16.58,18.01
2021-08-10 05:12:00,16.57,18
2021-08-10 05:13:00,16.57,17.99
2021-08-10 05:14:00,16.53,17.97
2021-08-10 05:15:00,16.48,17.95
2021-08-10 05:16:00,16.47,17.92
2021-08-10 05:17:00,16.44,17.9
2021-08-10 05:18:00,16.45,17.89
2021-08-10 05:19:00,16.43,17.87
2021-08-10 05:20:00,16.4,17.85
2021-08-10 05:21:00,16.39,17.83
2021-08-10 05:22:00,16.4,17.83
2021-08-10 05:23:00,16.4,17.82
2021-08-10 05:24:00,16.39,17.82
2021-08-10 05:25:00,16.41,17.82
2021-08-10 05:26:00,16.37,17.81
2021-08-10 05:27:00,16.34,17.8
2021-08-10 05:28:00,16.36,17.8
2021-08-10 05:29:00,16.31,17.79
2021-08-10 05:30:00,16.25,17.75
2021-08-10 05:31:00,16.25,17.73
2021-08-10 05:32:00,16.2,17.73
2021-08-10 05:33:00,16.2,17.7
2021-08-10 05:34:00,16.18,17.68
2021-08-10 05:35:00,16.17,17.66
2021-08-10 05:36:00,16.13,17.63
2021-08-10 05:37:00,16.07,17.61
2021-08-10 05:38:00,16.06,17.58
2021-08-10 05:39:00,16.04,17.56
2021-08-10 05:40:00,,
2021-08-10 05:41:00,15.95,17.48
2021-08-10 05:42:00,15.91,17.47
2021-08-10 05:43:00,15.89,17.405
2021-08-10 05:44:00,,
2021-08-10 05:45:00,15.864999999999998,17.325
2021-08-10 05:46:00,15.84,17.28
2021-08-10 05:47:00,15.83,17.25
2021-08-10 05:48:00,15.84,17.22
2021-08-10 05:49:00,15.83,17.19
2021-08-10 05:50:00,15.81,17.16
2021-08-10 05:51:00,15.8,17.15
2021-08-10 05:52:00,15.78,17.13
2021-08-10 05:53:00,15.8,17.11
2021-08-10 05:54:00,15.78,17.09
2021-08-10 05:55:00,,
2021-08-10 05:56:00,15.8,17.08
2021-08-10 05:57:00,15.78,17.07
2021-08-10 05:58:00,15.74,17.06
2021-08-10 05:59:00,15.71,17.05
2021-08-10 06:00:00,15.715,17.03
2021-08-10 06:01:00,15.72,17.02
2021-08-10 06:02:00,15.72,17.02
2021-08-10 06:03:00,15.72,17
2021-08-10 06:04:00,15.73,17
2021-08-10 06:05:00,15.72,17
2021-08-10 06:06:00,15.7,16.99
2021-08-10 06:07:00,15.68,16.98
2021-08-10 06:08:00,15.66,16.96
2021-08-10 06:09:00,15.67,16.95
2021-08-10 06:10:00,15.68,16.95
2021-08-10 06:11:00,15.68,16.95
2021-08-10 06:12:00,15.68,16.95
2021-08-10 06:13:00,15.67,16.94
2021-08-10 06:14:00,15.684999999999999,16.945
2021-08-10 06:15:00,15.7,16.94
2021-08-10 06:16:00,15.7,16.95
2021-08-10 06:17:00,15.71,16.95
2021-08-10 06:18:00,15.71,16.96
2021-08-10 06:19:00,15.71,16.97
2021-08-10 06:20:00,15.71,16.98
2021-08-10 06:21:00,15.71,16.98
2021-08-10 06:22:00,15.7,16.99
2021-08-10 06:23:00,15.72,17
2021-08-10 06:24:00,15.72,17.02
2021-08-10 06:25:00,,
2021-08-10 06:26:00,15.68,17.01
2021-08-10 06:27:00,15.7,17.01
2021-08-10 06:28:00,15.68,17.01
2021-08-10 06:29:00,15.695,17.02
2021-08-10 06:30:00,15.71,17.03
2021-08-10 06:31:00,15.71,17.03
2021-08-10 06:32:00,15.68,17.04
2021-08-10 06:33:00,15.67,17.04
2021-08-10 06:34:00,15.68,17.03
2021-08-10 06:35:00,15.69,17.04
2021-08-10 06:36:00,15.69,17.03
2021-08-10 06:37:00,15.68,17.03
2021-08-10 06:38:00,15.68,17.03
2021-08-10 06:39:00,15.67,17.03
2021-08-10 06:40:00,15.69,17.04
2021-08-10 06:41:00,15.66,17.03
2021-08-10 06:42:00,15.63,17.03
2021-08-10 06:43:00,15.64,17.025
2021-08-10 06:44:00,15.6,17.02
2021-08-10 06:45:00,15.58,17.01
2021-08-10 06:46:00,15.6,17.01
2021-08-10 06:47:00,15.62,17.02
2021-08-10 06:48:00,15.63,17.03
2021-08-10 06:49:00,15.63,17.02
2021-08-10 06:50:00,15.59,17.02
2021-08-10 06:51:00,15.58,16.99
2021-08-10 06:52:00,15.57,16.98
2021-08-10 06:53:00,15.54,16.97
2021-08-10 06:54:00,,
2021-08-10 06:55:00,,
2021-08-10 06:56:00,15.51,16.92
2021-08-10 06:57:00,15.52,16.93
2021-08-10 06:58:00,15.54,16.915
2021-08-10 06:59:00,,
2021-08-10 07:00:00,15.53,16.9
2021-08-10 07:01:00,15.49,16.9
2021-08-10 07:02:00,15.51,16.89
2021-08-10 07:03:00,15.51,16.89
2021-08-10 07:04:00,15.51,16.88
2021-08-10 07:05:00,15.49,16.88
2021-08-10 07:06:00,15.49,16.88
2021-08-10 07:07:00,15.47,16.87
2021-08-10 07:08:00,15.47,16.87
2021-08-10 07:09:00,15.48,16.85
2021-08-10 07:10:00,15.47,16.84
2021-08-10 07:11:00,15.45,16.86
2021-08-10 07:12:00,15.46,16.83
2021-08-10 07:13:00,15.47,16.84
2021-08-10 07:14:00,15.45,16.82
2021-08-10 07:15:00,15.46,16.825
2021-08-10 07:16:00,15.47,16.83
2021-08-10 07:17:00,15.49,16.84
2021-08-10 07:18:00,15.48,16.83
2021-08-10 07:19:00,15.48,16.83
2021-08-10 07:20:00,15.48,16.84
2021-08-10 07:21:00,15.46,16.83
2021-08-10 07:22:00,15.44,16.83
2021-08-10 07:23:00,15.44,16.8
2021-08-10 07:24:00,15.45,16.8
2021-08-10 07:25:00,15.47,16.81
2021-08-10 07:26:00,15.49,16.82
2021-08-10 07:27:00,15.49,16.84
2021-08-10 07:28:00,15.48,16.83
2021-08-10 07:29:00,15.47,16.845
2021-08-10 07:30:00,15.44,16.85
2021-08-10 07:31:00,15.42,16.84
2021-08-10 07:32:00,15.44,16.83
2021-08-10 07:33:00,15.44,16.82
2021-08-10 07:34:00,15.44,16.83
2021-08-10 07:35:00,15.45,16.83
2021-08-10 07:36:00,15.46,16.84
2021-08-10 07:37:00,15.45,16.84
2021-08-10 07:38:00,,
2021-08-10 07:39:00,15.47,16.85
2021-08-10 07:40:00,15.49,16.85
2021-08-10 07:41:00,15.49,16.86
2021-08-10 07:42:00,15.47,16.85
2021-08-10 07:43:00,15.47,16.86
2021-08-10 07:44:00,15.47,16.86
2021-08-10 07:45:00,15.47,16.88
2021-08-10 07:46:00,15.47,16.87
2021-08-10 07:47:00,15.44,16.86
2021-08-10 07:48:00,15.45,16.86
2021-08-10 07:49:00,15.45,16.86
2021-08-10 07:50:00,15.44,16.86
2021-08-10 07:51:00,15.42,16.85
2021-08-10 07:52:00,15.41,16.84
2021-08-10 07:53:00,15.41,16.83
2021-08-10 07:54:00,15.4,16.82
2021-08-10 07:55:00,,
2021-08-10 07:56:00,15.4,16.81
2021-08-10 07:57:00,15.41,16.82
2021-08-10 07:58:00,15.42,16.814999999999998
2021-08-10 07:59:00,15.42,16.82
2021-08-10 08:00:00,15.41,16.81
